# InputID	ID	Mag	Magerr	RA	Decl	MJD	Blend
J0011-0845	1009002045103	19.19	0.19	 2.83433	-8.76392	53711.14915	0
J0011-0845	1009002045103	19.17	0.19	 2.83464	-8.76410	53711.15716	0
J0011-0845	1009002045103	20.03	0.29	 2.83461	-8.76453	53677.20006	0
J0011-0845	1009002045103	19.71	0.25	 2.83457	-8.76412	53677.21198	0
J0011-0845	1009002045103	18.85	0.16	 2.83509	-8.76393	53704.20000	0
J0011-0845	1009002045103	20.11	0.31	 2.83421	-8.76462	53704.20858	0
J0011-0845	1009002045103	19.31	0.21	 2.83450	-8.76421	53648.28483	0
J0011-0845	1009002045103	19.33	0.22	 2.83428	-8.76420	53648.29019	0
J0011-0845	1009002045103	19.62	0.25	 2.83446	-8.76405	53648.29558	0
J0011-0845	1009002045103	20.09	0.31	 2.83438	-8.76418	53654.24681	0
J0011-0845	1009002045103	19.96	0.29	 2.83421	-8.76427	53654.25325	0
J0011-0845	1009002045103	19.35	0.21	 2.83488	-8.76402	53654.25961	0
J0011-0845	1009002045103	18.64	0.16	 2.83527	-8.76479	53656.20191	0
J0011-0845	1009002045103	20.09	0.32	 2.83592	-8.76293	53656.20191	1
J0011-0845	1009002045103	19.25	0.19	 2.83432	-8.76405	53667.18257	0
J0011-0845	1009002045103	18.65	0.15	 2.83442	-8.76409	53667.18913	0
J0011-0845	1009002045103	19.70	0.24	 2.83434	-8.76422	53667.19581	0
J0011-0845	1009002045103	20.43	0.37	 2.83415	-8.76356	54091.09945	0
J0011-0845	1009002045103	19.68	0.22	 2.83443	-8.76422	54056.17095	0
J0011-0845	1009002045103	19.99	0.26	 2.83428	-8.76413	54056.17683	0
J0011-0845	1009002045103	19.83	0.24	 2.83409	-8.76413	54056.18274	0
J0011-0845	1009002045103	19.43	0.20	 2.83476	-8.76433	54062.19605	0
J0011-0845	1009002045103	20.49	0.35	 2.83437	-8.76405	54062.20258	0
J0011-0845	1009002045103	18.68	0.14	 2.83452	-8.76416	54012.29027	0
J0011-0845	1009002045103	19.32	0.19	 2.83445	-8.76402	54029.18582	0
J0011-0845	1009002045103	19.10	0.17	 2.83454	-8.76413	54029.20648	0
J0011-0845	1009002045103	19.21	0.18	 2.83436	-8.76422	53997.31929	0
J0011-0845	1009002045103	19.14	0.17	 2.83484	-8.76432	53997.33251	0
J0011-0845	1009002045103	20.11	0.28	 2.83445	-8.76448	53997.34573	0
J0011-0845	1009002045103	19.64	0.22	 2.83472	-8.76405	53997.35894	0
J0011-0845	1009002045103	19.54	0.21	 2.83460	-8.76418	54003.33924	0
J0011-0845	1009002045103	19.52	0.21	 2.83439	-8.76404	54003.34573	0
J0011-0845	1009002045103	19.10	0.17	 2.83456	-8.76439	54003.35223	0
J0011-0845	1009002045103	19.38	0.20	 2.83471	-8.76415	54440.06107	0
J0011-0845	1009002045103	19.65	0.22	 2.83441	-8.76422	54440.06761	0
J0011-0845	1009002045103	19.86	0.25	 2.83448	-8.76430	54440.07414	0
J0011-0845	1009002045103	19.86	0.25	 2.83416	-8.76396	54440.08066	0
J0011-0845	1009002045103	19.61	0.22	 2.83451	-8.76400	54406.17978	0
J0011-0845	1009002045103	19.08	0.17	 2.83460	-8.76374	54406.19280	0
J0011-0845	1009002045103	19.93	0.26	 2.83512	-8.76456	54406.19930	0
J0011-0845	1009002045103	20.52	0.36	 2.83460	-8.76411	54415.17206	0
J0011-0845	1009002045103	19.74	0.24	 2.83432	-8.76441	54415.17919	0
J0011-0845	1009002045103	20.11	0.29	 2.83446	-8.76483	54415.18627	0
J0011-0845	1009002045103	19.45	0.20	 2.83439	-8.76398	54415.19341	0
J0011-0845	1009002045103	19.72	0.24	 2.83449	-8.76404	54377.26215	0
J0011-0845	1009002045103	18.85	0.16	 2.83425	-8.76374	54377.26865	0
J0011-0845	1009002045103	19.93	0.26	 2.83504	-8.76435	54384.19284	0
J0011-0845	1009002045103	19.78	0.24	 2.83471	-8.76413	54384.19946	0
J0011-0845	1009002045103	19.67	0.23	 2.83483	-8.76453	54388.27430	0
J0011-0845	1009002045103	17.89	0.12	 2.83569	-8.76374	54348.36021	0
J0011-0845	1009002045103	19.26	0.19	 2.83423	-8.76422	54357.33065	0
J0011-0845	1009002045103	20.19	0.29	 2.83445	-8.76388	54776.18260	0
J0011-0845	1009002045103	19.12	0.18	 2.83463	-8.76391	54741.32921	0
J0011-0845	1009002045103	19.67	0.23	 2.83408	-8.76460	54741.33776	0
J0011-0845	1009002045103	19.78	0.24	 2.83480	-8.76408	54748.19083	0
J0011-0845	1009002045103	19.28	0.19	 2.83445	-8.76385	54748.19812	0
J0011-0845	1009002045103	19.56	0.21	 2.83479	-8.76404	54766.19056	0
J0011-0845	1009002045103	20.07	0.28	 2.83455	-8.76406	54766.19911	0
J0011-0845	1009002045103	19.46	0.20	 2.83507	-8.76396	54766.20760	0
J0011-0845	1009002045103	20.30	0.31	 2.83445	-8.76462	54766.21611	0
